Date;Device;App;UsageTime;UsageCount
December 18, 2022;samsung SM-A536B;Main Screen One UI;0s;0
December 19, 2022;samsung SM-A536B;Main Screen One UI;12m 10s;66
December 20, 2022;samsung SM-A536B;Main Screen One UI;15m 6s;73
December 21, 2022;samsung SM-A536B;Main Screen One UI;17m 4s;63
December 22, 2022;samsung SM-A536B;Main Screen One UI;5m 14s;28
December 23, 2022;samsung SM-A536B;Main Screen One UI;3m 1s;18
December 24, 2022;samsung SM-A536B;Main Screen One UI;6m 10s;25
December 25, 2022;samsung SM-A536B;Main Screen One UI;58s;13
December 26, 2022;samsung SM-A536B;Main Screen One UI;4m 3s;21
December 27, 2022;samsung SM-A536B;Main Screen One UI;2m 50s;28
December 28, 2022;samsung SM-A536B;Main Screen One UI;2m 36s;22
December 29, 2022;samsung SM-A536B;Main Screen One UI;2m 23s;19
December 30, 2022;samsung SM-A536B;Main Screen One UI;4m 21s;21
December 31, 2022;samsung SM-A536B;Main Screen One UI;6m 45s;45
December 10, 2022;HUAWEI STK-LX1;Google;23s;1
December 11, 2022;HUAWEI STK-LX2;Google;7m 50s;10
December 12, 2022;HUAWEI STK-LX3;Google;0s;0
December 13, 2022;HUAWEI STK-LX4;Google;3m 52s;6
December 14, 2022;HUAWEI STK-LX5;Google;4m 50s;9
December 15, 2022;HUAWEI STK-LX6;Google;27s;3
December 16, 2022;HUAWEI STK-LX7;Google;40s;3
December 17, 2022;HUAWEI STK-LX8;Google;0s;0
December 18, 2022;HUAWEI STK-LX9;Google;1m 12s;4
December 19, 2022;HUAWEI STK-LX10;Google;2m 5s;9
December 20, 2022;HUAWEI STK-LX11;Google;6s;1
December 21, 2022;HUAWEI STK-LX12;Google;4m 19s;10
December 22, 2022;HUAWEI STK-LX13;Google;0s;0
December 23, 2022;HUAWEI STK-LX14;Google;0s;0
December 24, 2022;HUAWEI STK-LX15;Google;19s;2
December 25, 2022;HUAWEI STK-LX16;Google;2m 39s;6
December 26, 2022;HUAWEI STK-LX17;Google;51s;3
December 27, 2022;HUAWEI STK-LX18;Google;36s;2
December 28, 2022;HUAWEI STK-LX19;Google;0s;0
December 29, 2022;HUAWEI STK-LX20;Google;17s;1
December 30, 2022;HUAWEI STK-LX21;Google;0s;0
December 31, 2022;HUAWEI STK-LX22;Google;5m 43s;5
December 10, 2022;samsung SM-A536B;Google;0s;0
December 11, 2022;samsung SM-A536B;Google;0s;0
December 12, 2022;samsung SM-A536B;Google;0s;0
December 13, 2022;samsung SM-A536B;Google;0s;0
December 14, 2022;samsung SM-A536B;Google;0s;0
December 15, 2022;samsung SM-A536B;Google;0s;0
December 16, 2022;samsung SM-A536B;Google;0s;0
December 17, 2022;samsung SM-A536B;Google;0s;0
December 18, 2022;samsung SM-A536B;Google;0s;0
December 19, 2022;samsung SM-A536B;Google;8m 28s;8
December 20, 2022;samsung SM-A536B;Google;4m 1s;7
December 21, 2022;samsung SM-A536B;Google;9m 15s;21
December 22, 2022;samsung SM-A536B;Google;20s;1
December 23, 2022;samsung SM-A536B;Google;43s;1
December 24, 2022;samsung SM-A536B;Google;54s;3
December 25, 2022;samsung SM-A536B;Google;35s;2
December 26, 2022;samsung SM-A536B;Google;0s;0
December 27, 2022;samsung SM-A536B;Google;0s;0
December 28, 2022;samsung SM-A536B;Google;0s;0
December 29, 2022;samsung SM-A536B;Google;0s;0
December 30, 2022;samsung SM-A536B;Google;16s;1
December 31, 2022;samsung SM-A536B;Google;15s;1
