"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"178",2022-12-03 23:45:00,"Ayako Mori","So Cute!! - Schiere Remix",416.008,2022-12-03 23:38:03,2022-12-03,0.547,0.998,6,-3.218,0,0.0687,0.000427,0.339,0.108,0.426,149.999,"dark techno","fast"
"180",2022-12-03 23:56:00,"Afem Syko","Generation E",311.652,2022-12-03 23:50:48,2022-12-03,0.572,0.958,8,-7.878,1,0.0562,0.00013,0.906,0.151,0.22,144.006,"techno rave","fast"
"181",2022-12-04 00:03:00,"Rezystor","Synthetic Nightmare",410.499,2022-12-03 23:56:09,2022-12-03,0.505,0.944,1,-11.209,1,0.0402,0.00254,0.8,0.131,0.379,142.995,"techno rave","fast"
"183",2022-12-04 11:10:00,"Afem Syko","Generation E",2.91,2022-12-04 11:09:57,2022-12-04,0.572,0.958,8,-7.878,1,0.0562,0.00013,0.906,0.151,0.22,144.006,"techno rave","fast"
"184",2022-12-04 11:15:00,"Balrog","Run For Cover",316.461,2022-12-04 11:09:43,2022-12-04,0.72,0.998,4,-8.825,1,0.0855,0.000523,0.295,0.172,0.0323,142.004,"techno rave","fast"
"188",2022-12-04 11:38:00,"Rezystor","Synthetic Nightmare",410.499,2022-12-04 11:31:09,2022-12-04,0.505,0.944,1,-11.209,1,0.0402,0.00254,0.8,0.131,0.379,142.995,"techno rave","fast"
"189",2022-12-04 11:44:00,"Svetec","In Your Soul - Original Mix",357.517,2022-12-04 11:38:02,2022-12-04,0.553,0.995,10,-4.997,1,0.0675,0.0142,0.811,0.185,0.143,144.966,"raw techno","fast"
"190",2022-12-04 11:49:00,"Champas","Raw Matters - Original Mix",328.951,2022-12-04 11:43:31,2022-12-04,0.565,0.989,11,-8.366,1,0.0754,0.103,0.754,0.0923,0.0626,142.986,"dark techno","fast"
"191",2022-12-04 11:55:00,"Fractions","What Doesn't Kill Me",371.837,2022-12-04 11:48:48,2022-12-04,0.453,0.992,9,-6.79,0,0.0667,2.79e-05,0.838,0.0834,0.449,141.992,"acid techno","fast"
"193",2022-12-04 12:08:00,"Midnight Vices","Move Next - Original Mix",346.27,2022-12-04 12:02:13,2022-12-04,0.664,0.85,7,-8.749,1,0.0722,0.000669,0.91,0.678,0.336,139.994,"french techno","fast"
"200",2022-12-04 12:51:00,"Charlie Sparks (UK)","Hooligans",373.574,2022-12-04 12:44:46,2022-12-04,0.602,1,8,-6.138,0,0.0612,6.48e-05,0.589,0.525,0.0356,146.987,"techno rave","fast"
"206",2022-12-04 13:30:00,"DYEN","Depressed",404.513,2022-12-04 13:23:15,2022-12-04,0.504,0.865,11,-8.198,0,0.03,0.00236,0.838,0.335,0.219,143.992,"industrial techno","fast"
